Condition,kappa,Initial_slider,Final_slider
Control,2,50.17073170731726,50.17073170731757
Control,5,50.17073170731726,50.170731707316975
Control,10,50.17073170731726,50.170731707317174
Control,30,50.17073170731726,50.17073170731692
Moderation,2,51.317647058823525,31.947932567525783
Moderation,5,51.317647058823525,24.906373079642037
Moderation,10,51.317647058823525,22.207943868197418
Moderation,30,51.317647058823525,20.294193367283242
Polarization,2,52.940476190476204,72.48301459587475
Polarization,5,52.940476190476204,79.90738421054195
Polarization,10,52.940476190476204,82.7999878645004
Polarization,30,52.940476190476204,84.86771196729336
